payment_mode,product_category,seller_tier,delivery_zone,time_slot,order_value,delivery_attempts,customer_rating,days_to_deliver,address_quality_score,is_repeat_customer,holiday_season,seller_rating,pincode_density,rto
COD,Sports,Silver,Tier1,Morning,1490.15,2,4,3,0.96,1,0,2.9,Medium,0
Card,Beauty,Silver,Tier2,Morning,1138.53,3,3,4,0.97,1,0,3.1,High,1
Prepaid,Fashion,Silver,Tier1,Evening,3306.56,2,4,3,0.92,1,0,3.9,High,0
Prepaid,Books,Silver,Tier1,Evening,1305.05,1,4,8,0.89,1,0,3.8,Medium,0
COD,Toys,Silver,Rural,Afternoon,2186.85,1,1,3,0.82,1,0,4.0,Low,0
COD,Home,Gold,Metro,Afternoon,459.93,1,1,3,0.3,0,0,4.5,High,0
COD,Home,Bronze,Tier1,Morning,837.89,3,4,4,0.46,0,1,2.9,Medium,0
UPI,Home,Bronze,Tier2,Morning,1123.86,3,2,3,0.8,1,1,3.8,Low,0
Prepaid,Sports,Silver,Tier2,Afternoon,2345.73,1,5,5,0.89,1,0,4.8,High,0
Prepaid,Toys,Gold,Tier2,Evening,3002.34,3,2,6,0.38,1,0,2.9,Low,1
COD,Electronics,Silver,Metro,Evening,1371.8,1,4,4,0.7,0,1,4.4,Medium,1
Card,Toys,Bronze,Tier2,Evening,1353.88,1,3,3,0.25,0,0,4.7,High,1
UPI,Electronics,Bronze,Tier2,Morning,3690.1,2,5,5,0.88,0,0,2.6,Low,1
COD,Home,Silver,Metro,Afternoon,925.4,2,2,6,0.48,0,1,3.4,High,0
COD,Beauty,Gold,Metro,Afternoon,895.76,1,5,3,0.36,1,0,2.6,High,0
COD,Beauty,Bronze,Tier2,Afternoon,2532.46,3,5,6,0.87,0,1,4.8,High,1
COD,Electronics,Silver,Metro,Evening,814.18,1,5,5,0.34,1,0,3.3,Low,1
Prepaid,Home,Silver,Metro,Afternoon,2217.07,1,3,4,0.57,1,0,2.7,High,0
COD,Toys,Gold,Metro,Afternoon,696.89,1,3,4,0.28,0,0,2.7,High,0
COD,Beauty,Silver,Metro,Evening,1340.47,3,2,2,0.56,1,0,4.2,Medium,0
Prepaid,Electronics,Silver,Metro,Morning,1203.79,1,3,2,0.94,1,0,5.0,High,0
COD,Toys,Bronze,Tier1,Morning,1618.7,2,4,5,0.75,1,0,4.0,Medium,0
COD,Home,Bronze,Metro,Evening,2847.43,2,1,4,0.99,1,0,2.5,Medium,0
COD,Fashion,Gold,Rural,Afternoon,602.11,1,4,4,0.56,0,0,3.2,Medium,1
Prepaid,Home,Bronze,Metro,Morning,948.95,2,1,1,0.91,1,1,2.7,Medium,0
UPI,Sports,Bronze,Tier1,Morning,1146.75,1,4,2,0.93,1,1,3.1,Medium,0
COD,Home,Silver,Rural,Morning,1634.38,2,5,7,0.27,0,0,4.4,Medium,0
Prepaid,Toys,Bronze,Rural,Evening,1196.01,1,3,5,0.98,1,0,3.5,Low,1
Prepaid,Toys,Bronze,Tier1,Morning,3777.92,2,4,4,0.91,0,0,3.1,Medium,1
COD,Books,Silver,Tier1,Afternoon,1084.25,1,4,5,0.7,0,0,3.5,Low,1
Prepaid,Books,Bronze,Tier2,Evening,1325.82,1,5,3,0.63,1,1,3.4,Medium,0
COD,Toys,Bronze,Rural,Evening,1046.0,3,5,4,0.51,1,0,3.1,Medium,0
COD,Toys,Bronze,Metro,Morning,1055.35,3,4,4,0.67,0,0,2.8,High,0
Card,Fashion,Bronze,Tier1,Afternoon,4808.36,3,5,1,0.79,1,1,4.5,Medium,0
Card,Fashion,Silver,Tier2,Evening,1638.63,1,1,10,0.77,0,0,4.2,Medium,1
UPI,Home,Bronze,Tier1,Morning,657.45,2,2,4,0.44,1,0,3.2,High,0
COD,Sports,Bronze,Tier2,Afternoon,494.82,1,5,8,0.74,0,0,2.7,High,1
COD,Beauty,Silver,Tier2,Afternoon,1011.37,3,3,5,0.2,1,1,4.3,High,0
Prepaid,Sports,Gold,Metro,Evening,4998.92,3,3,7,0.34,0,0,3.0,High,0
COD,Fashion,Bronze,Tier1,Morning,917.99,3,4,2,0.32,0,0,4.1,Low,0
COD,Home,Gold,Tier2,Afternoon,2305.32,2,4,8,0.79,1,1,3.6,Low,1
Prepaid,Sports,Bronze,Tier2,Evening,721.99,3,3,4,0.92,1,1,3.3,High,0
COD,Electronics,Bronze,Tier2,Evening,2332.41,3,3,2,0.27,1,0,3.1,High,1
Card,Books,Silver,Tier2,Evening,828.8,1,1,5,0.93,1,0,3.1,High,1
COD,Sports,Gold,Metro,Evening,926.16,1,5,5,0.45,1,0,2.8,High,0
Prepaid,Beauty,Silver,Tier2,Evening,1960.59,1,5,5,0.7,1,0,4.9,High,1
COD,Home,Silver,Tier1,Afternoon,1024.49,2,1,4,0.33,1,1,3.3,Low,0
Prepaid,Sports,Bronze,Tier2,Evening,1337.28,1,3,6,0.52,1,0,4.9,High,0
Prepaid,Toys,Silver,Tier1,Morning,5307.17,2,5,5,0.57,1,0,3.4,High,0
COD,Electronics,Gold,Tier2,Morning,3573.46,1,1,5,0.5,1,0,5.0,High,0
Card,Books,Silver,Tier2,Afternoon,1203.05,1,5,3,0.86,0,0,3.7,Low,0
UPI,Electronics,Bronze,Tier2,Evening,1976.73,1,3,6,0.67,1,0,2.6,Medium,0
Card,Home,Silver,Rural,Evening,565.06,1,5,5,0.6,1,0,3.4,Medium,0
